O*NET-SOC Code,Title,Description,TopSkills,SkillImportance,SoftwareTools,HotTechFlags
39-2021.00,Animal Caretakers,"Feed, water, groom, bathe, exercise, or otherwise provide care to promote and maintain the well-being of pets and other animals that are not raised for consumption, such as dogs, cats, race horses, ornamental fish or birds, zoo animals, and mice. Work in settings such as kennels, animal shelters, zoos, circuses, and aquariums. May keep records of feedings, treatments, and animals received or discharged. May clean, disinfect, and repair cages, pens, or fish tanks.",Monitoring|Reading Comprehension|Active Listening|Speaking|Writing|Critical Thinking|Active Learning|Mathematics|Learning Strategies|Science,3.12|3.0|3.0|2.88|2.75|2.75|2.38|2.0|2.0|1.5,DaySmart Software Appointment-Plus|Microsoft Access|Petschedule|Mobile Dog Grooming Software mGroomer|Groomsoft|DaySmart Software 123Pet|Microsoft Excel|K9 Bytes K9 Koordinator|Microsoft Office software|Microsoft Word|The Groomer's Write Hand|Kennel Link|Envision Pet Grooming|Groom Pro|Microsoft PowerPoint,N|N|N|N|N|N|N|N|Y|Y|Y|Y|Y|Y|N
39-3011.00,Gambling Dealers,"Operate table games. Stand or sit behind table and operate games of chance by dispensing the appropriate number of cards or blocks to players, or operating other gambling equipment. Distribute winnings or collect players' money or chips. May compare the house's hand against players' hands.",Active Listening|Speaking|Reading Comprehension|Monitoring|Mathematics|Critical Thinking|Writing|Active Learning|Learning Strategies|Science,3.38|3.38|3.0|3.0|2.75|2.75|2.25|2.25|2.0|1.0,Email software|Apache Hadoop|Microsoft Office software|Apache Spark|Microsoft Excel|Slack,Y|Y|N|Y|Y|Y
39-3012.00,Gambling and Sports Book Writers and Runners,"Post information enabling patrons to wager on various races and sporting events. Assist in the operation of games such as keno and bingo. May operate random number-generating equipment and announce the numbers for patrons. Receive, verify, and record patrons' wagers. Scan and process winning tickets presented by patrons and pay out winnings for those wagers.",Active Listening|Speaking|Monitoring|Mathematics|Writing|Critical Thinking|Reading Comprehension|Active Learning|Learning Strategies|Science,3.5|3.12|3.12|3.0|2.88|2.88|2.75|2.62|2.25|1.25,Web browser software|Microsoft Excel|Microsoft Office software|Microsoft Windows|Microsoft Word|Credit card processing software|Microsoft PowerPoint,N|Y|Y|Y|Y|Y|N
39-3019.00,"Gambling Service Workers, All Other",All gambling service workers not listed separately.,,,,
39-3021.00,Motion Picture Projectionists,Set up and operate motion picture projection and related sound reproduction equipment.,Reading Comprehension|Active Listening|Speaking|Critical Thinking|Monitoring|Writing|Active Learning|Learning Strategies|Mathematics|Science,3.0|3.0|3.0|2.88|2.88|2.12|2.12|2.0|1.5|1.0,Web browser software|Autodesk AutoCAD|Avid Technology iNEWS|Facebook|Microsoft Excel|Microsoft Office software|Microsoft Word|Apple macOS|Microsoft PowerPoint|Microsoft Outlook|Audio calibration software,Y|N|Y|N|Y|Y|Y|Y|Y|Y|N
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers","Assist patrons at entertainment events by performing duties, such as collecting admission tickets and passes from patrons, assisting in finding seats, searching for lost articles, and helping patrons locate such facilities as restrooms and telephones.",Active Listening|Speaking|Reading Comprehension|Critical Thinking|Monitoring|Active Learning|Writing|Learning Strategies|Mathematics|Science,3.12|3.12|2.75|2.75|2.75|2.5|2.0|1.88|1.75|1.0,Microsoft Excel|Microsoft Office software|Ticket Alternative Express Entry|Microsoft Word|Microsoft Windows Mobile|Ticket scanning software|Microsoft PowerPoint|Microsoft Outlook,Y|Y|Y|Y|N|Y|N|N
39-3091.00,Amusement and Recreation Attendants,"Perform a variety of attending duties at amusement or recreation facility. May schedule use of recreation facilities, maintain and provide equipment to participants of sporting events or recreational pursuits, or operate amusement concessions and rides.",Speaking|Active Listening|Monitoring|Critical Thinking|Writing|Reading Comprehension|Active Learning|Learning Strategies|Mathematics|Science,3.25|3.0|2.88|2.75|2.5|2.38|2.38|2.12|2.0|1.0,Microsoft Internet Explorer|Facebook|Adobe PageMaker|Microsoft Excel|Microsoft Office software|Microsoft Windows|Microsoft Word|Microsoft Outlook|Database software,N|N|Y|Y|N|Y|Y|Y|Y
39-3092.00,Costume Attendants,"Select, fit, and take care of costumes for cast members, and aid entertainers. May assist with multiple costume changes during performances.",Active Listening|Speaking|Monitoring|Reading Comprehension|Critical Thinking|Writing|Active Learning|Learning Strategies|Mathematics|Science,3.12|3.12|3.12|2.88|2.88|2.5|2.5|1.88|1.5|1.0,Web browser software|Garment tracking software|Microsoft Excel|Microsoft Office software|Microsoft Word|Microsoft Outlook|Database software,N|N|Y|Y|Y|Y|N
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants","Provide personal items to patrons or customers in locker rooms, dressing rooms, or coatrooms.",Active Listening|Speaking|Reading Comprehension|Monitoring|Writing|Critical Thinking|Active Learning|Mathematics|Learning Strategies|Science,3.38|3.38|2.75|2.5|2.38|2.38|1.88|1.62|1.5|1.0,Web browser software|IntelliTrack DMS Check In-Out|Facebook|Inventory tracking software|Microsoft Excel|Microsoft Office software|Microsoft Word|SportSoft Equipment Manager|IBM Lotus 1-2-3,Y|N|N|N|Y|Y|Y|N|N
39-3099.00,"Entertainment Attendants and Related Workers, All Other",All entertainment attendants and related workers not listed separately.,,,,
39-4011.00,Embalmers,Prepare bodies for interment in conformity with legal requirements.,Speaking|Active Listening|Writing|Critical Thinking|Reading Comprehension|Active Learning|Monitoring|Science|Learning Strategies|Mathematics,3.88|3.75|3.12|3.12|3.0|3.0|3.0|2.62|2.12|2.0,Web browser software|FPA Software MACCS|Custom Data Systems Sterling Management Software|HMIS Advantage|Microsoft Excel|Microsoft Office software|Microsoft Word|Corel WordPerfect Office Suite|Belmar & Associates Mortware|Twin Tier Technologies MIMS,N|N|N|N|N|Y|Y|Y|N|N
39-4012.00,Crematory Operators,"Operate crematory equipment to reduce human or animal remains to bone fragments in accordance with state and local regulations. Duties may include preparing the body for cremation and performing general maintenance on crematory equipment. May use traditional flame-based cremation, calcination, or alkaline hydrolysis.",,,HMIS Advantage|Microsoft Excel|Microsoft Office software|Microsoft Word|Belmar & Associates Mortware,N|N|Y|Y|Y
39-4021.00,Funeral Attendants,"Perform a variety of tasks during funeral, such as placing casket in parlor or chapel prior to service, arranging floral offerings or lights around casket, directing or escorting mourners, closing casket, and issuing and storing funeral equipment.",Active Listening|Speaking|Monitoring|Reading Comprehension|Critical Thinking|Writing|Active Learning|Learning Strategies|Mathematics|Science,3.12|3.0|3.0|2.75|2.62|2.25|2.0|2.0|1.75|1.25,Bookkeeping software|iCIMS Talent Cloud software|Microsoft Excel|Microsoft Office software|Microsoft Word,N|N|Y|Y|Y
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers","Perform various tasks to arrange and direct individual funeral services, such as coordinating transportation of body to mortuary, interviewing family or other authorized person to arrange details, selecting pallbearers, aiding with the selection of officials for religious rites, and providing transportation for mourners.",Active Listening|Speaking|Reading Comprehension|Writing|Critical Thinking|Active Learning|Monitoring|Mathematics|Learning Strategies|Science,4.12|3.75|3.25|3.25|3.12|3.0|3.0|2.75|2.75|1.75,Microsoft Access|FPA Software MACCS|Custom Data Systems Sterling Management Software|Web browser software|Salesforce software|HMIS Advantage|iCIMS Talent Cloud software|Microsoft Excel|Microsoft Office software|Microsoft Word|Corel WordPerfect Office Suite|Belmar & Associates Mortware|Microsoft PowerPoint|FuneralKiosk|Microsoft Outlook,N|N|N|N|N|N|N|Y|Y|Y|Y|Y|Y|Y|N
39-5011.00,Barbers,"Provide barbering services, such as cutting, trimming, shampooing, and styling hair; trimming beards; or giving shaves.",Active Listening|Speaking|Reading Comprehension|Monitoring|Critical Thinking|Active Learning|Writing|Learning Strategies|Mathematics|Science,3.25|3.12|2.75|2.75|2.62|2.62|2.25|2.25|1.88|1.12,Appointment scheduling software|YouTube|Customer information databases|Facebook|Microsoft Excel|Microsoft Office software|Microsoft Windows|Microsoft Word|Point of sale POS payment software|Microsoft PowerPoint|Linux,N|N|Y|Y|Y|Y|Y|Y|Y|N|N
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists","Provide beauty services, such as cutting, coloring, and styling hair, and massaging and treating scalp. May shampoo hair, apply makeup, dress wigs, remove hair, and provide nail and skincare services.",Active Listening|Speaking|Critical Thinking|Active Learning|Reading Comprehension|Monitoring|Writing|Learning Strategies|Mathematics|Science,3.88|3.75|3.38|3.25|3.0|3.0|2.88|2.88|2.38|1.62,Appointment scheduling software|Sale processing software|YouTube|Customer information databases|Intuit QuickBooks|Facebook|Apple iOS|Microsoft Excel|Microsoft Office software|Microsoft Word,Y|N|N|Y|Y|Y|Y|Y|N|N
39-5091.00,"Makeup Artists, Theatrical and Performance","Apply makeup to performers to reflect period, setting, and situation of their role.",Speaking|Reading Comprehension|Active Listening|Critical Thinking|Active Learning|Monitoring|Writing|Learning Strategies|Mathematics|Science,3.75|3.62|3.5|3.25|3.12|3.12|2.88|2.75|2.12|1.5,Instagram|Appointment scheduling software|Blogging software|Intuit QuickBooks|Facebook|Adobe Photoshop|Clear Books|Pixologic Zbrush|Web browser software|Autodesk Maya|Email software|Twitter|Microsoft Excel|Microsoft Office software|Microsoft Outlook,Y|N|N|N|N|N|N|N|N|N|Y|N|Y|Y|Y
39-5092.00,Manicurists and Pedicurists,Clean and shape customers' fingernails and toenails. May polish or decorate nails.,Active Listening|Speaking|Reading Comprehension|Active Learning|Monitoring|Critical Thinking|Writing|Learning Strategies|Mathematics|Science,3.0|3.0|2.75|2.75|2.62|2.5|2.12|2.12|1.88|1.0,DaySmart Software Appointment-Plus|AppointmentQuest Online Appointment Scheduler|Customer information databases|Facebook|Appointment Search|Microsoft Excel|Microsoft Office software|DaySmart Software Salon Iris|Aknaf ADVANTAGE Salon Software and Spa Software,N|N|N|N|N|N|Y|Y|Y
39-5093.00,Shampooers,Shampoo and rinse customers' hair.,Speaking|Active Listening|Monitoring|Reading Comprehension|Critical Thinking|Writing|Active Learning|Learning Strategies|Mathematics|Science,3.25|3.12|2.75|2.5|2.5|2.38|2.25|2.0|1.62|1.0,Email software|Appointment scheduling software|Web browser software|Facebook|Inventory tracking software,N|N|Y|N|N
39-5094.00,Skincare Specialists,Provide skincare treatments to face and body to enhance an individual's appearance. Includes electrologists and laser hair removal specialists.,Speaking|Active Listening|Monitoring|Reading Comprehension|Critical Thinking|Active Learning|Writing|Learning Strategies|Mathematics|Science,3.75|3.5|3.25|3.12|3.12|3.0|2.88|2.75|2.0|1.38,Spa management software|Web browser software|Microsoft Excel|Microsoft Office software|Microsoft Word|Microsoft PowerPoint,Y|Y|Y|Y|N|N
39-6011.00,Baggage Porters and Bellhops,Handle baggage for travelers at transportation terminals or for guests at hotels or similar establishments.,Active Listening|Speaking|Critical Thinking|Reading Comprehension|Monitoring|Writing|Active Learning|Learning Strategies|Mathematics|Science,3.62|3.62|3.0|2.88|2.88|2.75|2.25|2.25|2.0|1.0,Microsoft Excel|Microsoft Office software|Microsoft Word|Corel WordPerfect Office Suite|Microsoft Outlook,N|Y|Y|Y|Y
39-6012.00,Concierges,"Assist patrons at hotel, apartment, or office building with personal services. May take messages; arrange or give advice on transportation, business services, or entertainment; or monitor guest requests for housekeeping and maintenance.",Active Listening|Speaking|Reading Comprehension|Critical Thinking|Monitoring|Active Learning|Writing|Mathematics|Learning Strategies|Science,4.0|4.0|3.0|3.0|3.0|2.88|2.75|2.0|2.0|1.0,Yardi software|Delphi Technology|Web browser software|Microsoft Publisher|Mapping software|Microsoft Excel|Microsoft Office software|Budgeting software|Billing software|Microsoft Word|Work scheduling software|Microsoft PowerPoint|Microsoft Outlook,N|N|N|N|Y|Y|Y|Y|N|Y|N|N|Y
39-7011.00,Tour Guides and Escorts,"Escort individuals or groups on sightseeing tours or through places of interest, such as industrial establishments, public buildings, and art galleries.",Speaking|Active Listening|Reading Comprehension|Monitoring|Critical Thinking|Writing|Active Learning|Learning Strategies|Mathematics|Science,3.88|3.25|3.0|3.0|2.88|2.25|2.25|2.25|2.0|1.0,Facebook|Microsoft Word|Zoom|Adobe Photoshop|IBS Software Services Tour Partner|Global positioning system GPS software|Softrip Travel Software System|Email software|Microsoft Access|Microsoft Internet Explorer|Pear Deck|Microsoft Excel|Microsoft Office software|Microsoft Outlook|TourTech Systems TourTools,Y|Y|N|N|Y|N|N|Y|Y|N|Y|Y|Y|Y|N
39-7012.00,Travel Guides,"Plan, organize, and conduct long-distance travel, tours, and expeditions for individuals and groups.",Speaking|Active Listening|Reading Comprehension|Writing|Critical Thinking|Active Learning|Monitoring|Learning Strategies|Mathematics|Science,4.0|3.88|3.25|3.12|3.12|3.12|3.0|2.75|2.5|1.0,Financial accounting software|Microsoft Access|Web browser software|Data visualization software|Customer information databases|Tableau|Global positioning system GPS software|Facebook|Structured query language SQL|Microsoft Excel|Microsoft Office software|Microsoft Word|Travel Agent CMS|Microsoft PowerPoint|Microsoft Outlook,N|N|Y|N|N|Y|Y|Y|Y|Y|Y|Y|Y|N|N
39-9011.00,Childcare Workers,"Attend to children at schools, businesses, private households, and childcare institutions. Perform a variety of tasks, such as dressing, feeding, bathing, and overseeing play.",Monitoring|Active Listening|Speaking|Critical Thinking|Reading Comprehension|Writing|Active Learning|Learning Strategies|Mathematics|Science,3.5|3.12|3.12|3.12|3.0|3.0|3.0|3.0|2.12|1.12,Web browser software|Nearpod|Schoology|Educational software|Scheduling software|Tadpoles|Microsoft Office software|Microsoft Word|Google Classroom|Seesaw,N|N|Y|Y|N|N|N|N|N|N
39-9011.01,Nannies,"Care for children in private households and provide support and expertise to parents in satisfying children's physical, emotional, intellectual, and social needs. Duties may include meal planning and preparation, laundry and clothing care, organization of play activities and outings, discipline, intellectual stimulation, language activities, and transportation.",Active Listening|Monitoring|Speaking|Critical Thinking|Learning Strategies|Reading Comprehension|Writing|Active Learning|Mathematics|Science,3.88|3.88|3.75|3.62|3.25|3.0|3.0|3.0|1.62|1.62,Web browser software|Educational software|Scheduling software|Microsoft Excel|Microsoft Word,N|Y|Y|N|N
39-9031.00,Exercise Trainers and Group Fitness Instructors,"Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise.",Speaking|Active Listening|Learning Strategies|Reading Comprehension|Critical Thinking|Active Learning|Monitoring|Writing|Mathematics|Science,3.62|3.25|3.12|3.0|3.0|3.0|3.0|2.62|1.75|1.75,DaySmart Software Appointment-Plus|Appointment scheduling software|BioEx Systems Fitness Maker|BioEx Systems Exercise Expert|Online River Software Personal Trainer Pro|BioEx Systems Nutrition Maker Plus|Intuit QuickBooks|Sage Simply Accounting|Microsoft Word|Sage 50 Accounting|Web browser software|Visual Health Information The Trainer's Exercise Toolbox|Email software|DietMaster Systems DietMaster|Microsoft Excel,N|N|N|N|N|N|N|N|N|N|Y|Y|Y|Y|Y
39-9032.00,Recreation Workers,"Conduct recreation activities with groups in public, private, or volunteer agencies or recreation facilities. Organize and promote activities, such as arts and crafts, sports, games, music, dramatics, social recreation, camping, and hobbies, taking into account the needs and interests of individual members.",Active Listening|Speaking|Monitoring|Critical Thinking|Reading Comprehension|Writing|Active Learning|Learning Strategies|Mathematics|Science,4.0|4.0|3.75|3.25|3.12|3.12|3.12|3.12|2.12|1.62,Recordkeeping software|Microsoft Internet Explorer|Microsoft Publisher|YouTube|Appletree|Scheduling software|GroupMe|Microsoft Excel|Microsoft Office software|Microsoft Windows|Microsoft Word|Corel WordPerfect Office Suite|Microsoft PowerPoint|Microsoft Outlook|Database software,N|N|N|N|Y|N|Y|Y|Y|N|Y|Y|N|N|N
39-9041.00,Residential Advisors,"Coordinate activities in resident facilities in secondary school and college dormitories, group homes, or similar establishments. Order supplies and determine need for maintenance, repairs, and furnishings. May maintain household records and assign rooms. May assist residents with problem solving or refer them to counseling resources.",Active Listening|Speaking|Monitoring|Critical Thinking|Reading Comprehension|Writing|Active Learning|Learning Strategies|Mathematics|Science,3.88|3.75|3.75|3.62|3.12|3.0|3.0|2.75|2.0|1.38,Email software|Web browser software|Microsoft Excel|Microsoft Office software|Budgeting software|Microsoft Word|Website development software|Google Docs|Survey software|Microsoft PowerPoint|Microsoft Outlook,N|N|Y|Y|Y|Y|Y|Y|N|N|N
39-9099.00,"Personal Care and Service Workers, All Other",All personal care and service workers not listed separately.,,,,
41-1011.00,First-Line Supervisors of Retail Sales Workers,"Directly supervise and coordinate activities of retail sales workers in an establishment or department. Duties may include management functions, such as purchasing, budgeting, accounting, and personnel work, in addition to supervisory duties.",Active Listening|Speaking|Critical Thinking|Monitoring|Reading Comprehension|Writing|Active Learning|Learning Strategies|Mathematics|Science,3.88|3.75|3.5|3.5|3.0|3.0|3.0|3.0|2.75|1.0,Infocorp Softwear/POS|Oracle Taleo|American Precision Instruments Regit|Adobe Illustrator|WinMan SureSell|Salesforce software|EZ Software Solutions|Apple Safari|Social media sites|Time card software|Teradata Database|Microsoft Edge|True North Computer Retail Plus|Microsoft Office software|The Retail Solution,Y|Y|Y|Y|N|N|Y|N|N|Y|N|N|N|N|N
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,"Directly supervise and coordinate activities of sales workers other than retail sales workers. May perform duties such as budgeting, accounting, and personnel work, in addition to supervisory duties.",Active Listening|Speaking|Monitoring|Reading Comprehension|Writing|Critical Thinking|Active Learning|Learning Strategies|Mathematics|Science,4.0|4.0|4.0|3.62|3.62|3.62|3.5|3.25|3.0|1.0,Financial accounting software|Delphi Technology|Salesforce.com Salesforce CRM|YouTube|Microsoft Dynamics|QuickBase business management software|Microsoft Word|Work scheduling software|SugarCRM Sugar UX|Web browser software|Salesforce software|SAP software|Electronic data interchange EDI software|Microsoft Access|Graphics creation software,N|Y|N|N|N|N|N|N|N|N|Y|N|Y|Y|Y
41-2011.00,Cashiers,"Receive and disburse money in establishments other than financial institutions. May use electronic scanners, cash registers, or related equipment. May process credit or debit card transactions and validate checks.",Active Listening|Speaking|Reading Comprehension|Critical Thinking|Mathematics|Monitoring|Writing|Active Learning|Learning Strategies|Science,3.0|3.0|2.75|2.75|2.62|2.62|2.12|2.0|2.0|1.25,Electronic medical record EMR software|Bookkeeping software|Mozilla Firefox|Handheld computer device software|Microsoft Edge|Microsoft Excel|Microsoft Office software|Microsoft Windows|ReliaSoft Prism|AFEXDirect|Database software|Apple Safari,N|Y|N|N|N|N|Y|Y|Y|Y|Y|N
41-2012.00,Gambling Change Persons and Booth Cashiers,"Exchange coins, tokens, and chips for patrons' money. May issue payoffs and obtain customer's signature on receipt. May operate a booth in the slot machine area and furnish change persons with money bank at the start of the shift, or count and audit money in drawers.",Reading Comprehension|Active Listening|Speaking|Mathematics|Critical Thinking|Monitoring|Writing|Active Learning|Learning Strategies|Science,3.12|3.0|3.0|2.88|2.88|2.88|2.75|2.0|2.0|1.0,Microsoft Excel|Microsoft Word,Y|Y
41-2021.00,Counter and Rental Clerks,"Receive orders, generally in person, for repairs, rentals, and services. May describe available options, compute cost, and accept payment.",Active Listening|Speaking|Reading Comprehension|Critical Thinking|Writing|Monitoring|Active Learning|Mathematics|Learning Strategies|Science,3.75|3.38|3.25|3.12|3.0|3.0|2.75|2.25|2.12|1.0,Oracle Database|Microsoft Excel|Microsoft Office software|Microsoft Word|Inventory management systems|Microsoft PowerPoint|Microsoft Outlook|Database software,N|N|Y|Y|Y|Y|Y|Y
41-2022.00,Parts Salespersons,Sell spare and replacement parts and equipment in repair shop or parts store.,Active Listening|Speaking|Reading Comprehension|Critical Thinking|Monitoring|Writing|Active Learning|Mathematics|Learning Strategies|Science,4.0|4.0|3.62|3.25|3.12|3.0|2.88|2.75|2.38|1.0,Web browser software|Inventory control system software|Adobe Acrobat|Customer information databases|Inventory tracking software|Microsoft Excel|Microsoft Office software|SAP software|Microsoft Word|Inventory management systems|SmugMug Flickr|Microsoft PowerPoint|Microsoft Outlook,Y|N|N|N|N|Y|Y|Y|Y|Y|Y|N|N
41-2031.00,Retail Salespersons,"Sell merchandise, such as furniture, motor vehicles, appliances, or apparel to consumers.",Active Listening|Speaking|Critical Thinking|Reading Comprehension|Writing|Active Learning|Monitoring|Mathematics|Learning Strategies|Science,3.75|3.75|3.12|3.0|3.0|3.0|3.0|2.62|2.62|1.0,Infocorp Softwear/POS|Oracle PeopleSoft|American Precision Instruments Regit|Adobe Illustrator|WinMan SureSell|Salesforce software|EZ Software Solutions|Social media sites|Microsoft Edge|True North Computer Retail Plus|Microsoft Office software|The Retail Solution|Handheld computer device software|MicroBiz|Apple macOS,Y|Y|Y|Y|Y|N|N|Y|Y|N|N|Y|N|N|N
41-3011.00,Advertising Sales Agents,"Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or Internet establishments or public spaces.",Speaking|Active Listening|Reading Comprehension|Writing|Critical Thinking|Monitoring|Active Learning|Mathematics|Learning Strategies|Science,4.12|4.0|3.62|3.25|3.25|3.12|3.0|2.88|2.75|1.0,Microsoft Publisher|WordPress|Facebook|Microsoft Dynamics|Microsoft Word|Adobe Photoshop|Adobe Creative Cloud software|Web browser software|Canva|Adobe Illustrator|Salesforce software|Email software|Microsoft Access|QuarkXPress|Contact management software,Y|Y|Y|Y|Y|N|N|Y|N|N|Y|Y|N|Y|Y
41-3021.00,Insurance Sales Agents,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company.",Reading Comprehension|Active Listening|Speaking|Critical Thinking|Writing|Mathematics|Active Learning|Monitoring|Learning Strategies|Science,4.0|3.88|3.88|3.75|3.62|3.0|3.0|2.88|2.75|1.12,E-Z Data SmartOffice|Adobe After Effects|InStar Orion|FINEOS Insure|Insurance Technology Consultants WOW|YouTube|Cygnus Software IncomeMax|irs-aims MARS|Facebook|LogMeIn GoToMeeting|Microsoft Dynamics|Fiserv FSC Manager|AMS Services AMS Sagitta|Microsoft Word|North American Software Associates Eclipse,Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents","Buy and sell securities or commodities in investment and trading firms, or provide financial services to businesses and individuals. May advise customers about stocks, bonds, mutual funds, commodities, and market conditions.",Active Listening|Critical Thinking|Monitoring|Reading Comprehension|Speaking|Active Learning|Writing|Mathematics|Learning Strategies|Science,3.75|3.75|3.62|3.5|3.5|3.5|3.38|3.12|2.62|1.25,Microsoft Visual Basic|Redi Enterprise Development Redi ERM|Microsoft Dynamics|Microsoft Word|Oracle Hyperion|SunGard MicroHedge|Oracle PeopleSoft|Sales analysis software|Sage 50 Accounting|BondDesk Group Trader WorkStation|Web browser software|Graphics software|The MathWorks MATLAB|IBM Cognos Impromptu|Salesforce software,N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
41-3041.00,Travel Agents,"Plan and sell transportation and accommodations for customers. Determine destination, modes of transportation, travel dates, costs, and accommodations required. May also describe, plan, and arrange itineraries and sell tour packages. May assist in resolving clients' travel problems.",Active Listening|Reading Comprehension|Speaking|Writing|Critical Thinking|Active Learning|Monitoring|Mathematics|Learning Strategies|Science,4.12|4.0|4.0|3.12|3.12|3.12|3.0|2.88|2.5|1.25,Travii reservation system software|DataSwell|Intuit QuickBooks|Amadeus CRS|Microsoft Word|Galor Travel Booster|Zoom|SAP Concur|Apollo Reservation System|Globekey Agentkey|TravelCarma|Rezopia|Colibripms Software Colibri|Microsoft Access|Sabre Airline Solutions SabreSonic Customer Sales & Service,N|N|N|N|N|N|N|N|N|Y|N|Y|Y|Y|Y
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Sell services to individuals or businesses. May describe options or resolve client problems.,Active Listening|Speaking|Reading Comprehension|Writing|Critical Thinking|Active Learning|Monitoring|Mathematics|Learning Strategies|Science,3.88|3.88|3.62|3.38|3.38|3.38|3.12|2.62|2.38|1.0,HubSpot software|Microsoft Project|Enterprise application integration EAI software|Salesforce software|Microsoft Dynamics|Microsoft Excel|Microsoft Office software|Microsoft Word|Apple macOS|IBM SPSS Statistics|JamBoard|Microsoft PowerPoint|Microsoft Outlook,Y|N|Y|Y|N|N|Y|Y|Y|Y|Y|Y|Y
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of postsecondary education.",Speaking|Active Listening|Reading Comprehension|Active Learning|Writing|Critical Thinking|Monitoring|Mathematics|Learning Strategies|Science,4.25|4.12|3.75|3.5|3.38|3.38|3.12|2.88|2.75|1.5,ActionWare|Oracle Database|Microsoft Publisher|Salesforce.com Salesforce CRM|YouTube|Intuit QuickBooks|LogMeIn GoToMeeting|Microsoft Dynamics|Microsoft Word|Oracle Hyperion|LexisNexis|Zoom|Oracle PeopleSoft|Amazon Web Services AWS software|McAfee,N|N|N|Y|N|Y|N|N|N|N|N|Y|Y|N|Y
41-4011.07,Solar Sales Representatives and Assessors,"Contact new or existing customers to determine their solar equipment needs, suggest systems or equipment, or estimate costs.",Speaking|Reading Comprehension|Active Listening|Critical Thinking|Writing|Active Learning|Monitoring|Mathematics|Learning Strategies|Science,4.0|3.62|3.5|3.5|3.12|3.12|3.0|2.75|2.75|1.38,Web browser software|Adobe Acrobat|Google Meet|Autodesk AutoCAD|Salesforce.com Salesforce CRM|Microsoft Project|Salesforce software|Microsoft Dynamics|Google Workspace software|Microsoft Excel|Microsoft Office software|Microsoft Word|Trimble SketchUp Pro|Solar analysis software|Zoom,Y|Y|N|Y|N|Y|Y|Y|Y|Y|Y|Y|N|N|Y
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sell goods for wholesalers or manufacturers to businesses or groups of individuals. Work requires substantial knowledge of items sold.,Active Listening|Speaking|Critical Thinking|Reading Comprehension|Writing|Active Learning|Monitoring|Mathematics|Learning Strategies|Science,4.0|4.0|3.5|3.38|3.25|3.12|3.12|2.25|2.25|1.0,Commence Application Suite|Blackboard software|LogMeIn GoToMeeting|Tigerpaw|Advantage Signature Marketing Group Web Master|SeaMonkey|Oracle PeopleSoft|Apple Keynote|SSA Global BPCS|Google Slides|Adobe Illustrator|Salesforce software|HEAT Software GoldMine|Tax software|Dropbox,N|N|Y|Y|N|Y|Y|Y|N|N|N|N|Y|N|N
41-9011.00,Demonstrators and Product Promoters,Demonstrate merchandise and answer questions for the purpose of creating public interest in buying the product. May sell demonstrated merchandise.,Active Listening|Speaking|Reading Comprehension|Writing|Critical Thinking|Monitoring|Active Learning|Learning Strategies|Mathematics|Science,3.88|3.88|3.25|3.0|3.0|3.0|2.88|2.75|2.12|1.0,Email software|Web browser software|Eko|Social media sites|Microsoft Excel|Microsoft Office software|Microsoft Windows|Microsoft Word|Zoom|Microsoft PowerPoint|Microsoft Outlook|Hypertext markup language HTML,N|N|Y|Y|Y|Y|Y|Y|Y|N|N|Y
41-9012.00,Models,"Model garments or other apparel and accessories for prospective buyers at fashion shows, private showings, or retail establishments. May pose for photos to be used in magazines or advertisements. May pose as subject for paintings, sculptures, and other types of artistic expression.",Active Listening|Speaking|Critical Thinking|Reading Comprehension|Writing|Active Learning|Monitoring|Mathematics|Learning Strategies|Science,2.75|2.75|2.62|2.5|2.0|1.88|1.88|1.25|1.12|1.0,Instagram|Web browser software|YouTube|Facebook|Apple iOS|Twitter|Microsoft Excel|Microsoft Office software|Tumblr|Microsoft Word|LinkedIn|Microsoft PowerPoint|Apple Safari,Y|Y|Y|N|N|Y|Y|Y|Y|N|N|N|N
